table,scope,tenant_key,tenant_key_mode,foreign_keys_expected,unique_constraints_expected,indexes_expected,remote_dev_present,remote_dev_row_count,remote_schema_gap,inconsistency_count,inconsistency_detail,migration_action
booking_idempotency_keys,line_account,line_account_id,direct,none,PK(key),idx_idempotency_expires(expires_at),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
booking_reminders,line_account,booking_id -> bookings.line_account_id,derived,booking_id->bookings.id,PK(id),idx_reminders_status_scheduled(status+scheduled_at),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
bookings,line_account,line_account_id,direct,menu_id->menus.id; staff_id->staff.id; friend_id->friends.id; line_account_id->line_accounts.id,PK(id),idx_bookings_staff_overlap(staff_id+status+starts_at+block_ends_at); idx_bookings_friend_starts(friend_id+starts_at); idx_bookings_account_status_starts(line_account_id+status+starts_at),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
broadcast_insights,line_account,broadcast_id -> broadcasts account scope,derived,broadcast_id->broadcasts.id[delete:CASCADE],PK(id),idx_broadcast_insights_status(status); idx_broadcast_insights_broadcast_id(broadcast_id),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
broadcasts,cross_account,line_account_id OR account_ids,direct_polymorphic,target_tag_id->tags.id[delete:SET NULL],PK(id),idx_broadcasts_status(status),yes,0,missing_columns:line_account_id+alt_text+track_links,0,0 data rows; schema defect remains,validate explicit target LINE account set; snapshot and audit targets; use composite idempotency keys
calendar_bookings,line_account,friend_id -> friends.line_account_id; connection needs scope,derived_ambiguous,friend_id->friends.id[delete:SET NULL]; connection_id->google_calendar_connections.id[delete:CASCADE],PK(id),idx_calendar_bookings_start(start_at); idx_calendar_bookings_friend(friend_id),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
chats,line_account,line_account_id; friend_id -> friends.line_account_id,direct_and_derived,operator_id->operators.id[delete:SET NULL]; friend_id->friends.id[delete:CASCADE],PK(id); UNIQUE(friend_id),idx_chats_status(status); idx_chats_operator(operator_id); idx_chats_friend_unique(friend_id)[unique],yes,0,missing_columns:line_account_id,0,0 data rows; schema defect remains,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
conversion_events,line_account,friend_id -> friends.line_account_id,derived,affiliate_id->affiliates.id; friend_id->friends.id[delete:CASCADE]; conversion_point_id->conversion_points.id[delete:CASCADE],PK(id),idx_conversion_events_point(conversion_point_id); idx_conversion_events_friend(friend_id); idx_conversion_events_affiliate(affiliate_code),yes,0,missing_columns:affiliate_id+attributed_ref_code+approval_status+approved_at,0,0 data rows; schema defect remains,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
conversion_points,line_account,line_account_id (missing),missing,none,PK(id),none,yes,0,TENANT_KEY_MISSING_BY_DESIGN,0,0 data rows; schema defect remains,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
entry_routes,cross_account,pool_id -> pool_accounts.line_account_id OR account resolved at entry,derived_multi,intro_template_id->message_templates.id[delete:SET NULL]; pool_id->traffic_pools.id[delete:SET NULL]; scenario_id->scenarios.id[delete:SET NULL]; tag_id->tags.id[delete:SET NULL],PK(id); UNIQUE(ref_code),idx_entry_routes_ref(ref_code); idx_entry_routes_pool(pool_id); sqlite_autoindex_entry_routes_2(ref_code)[unique],no,N/A,MISSING_TABLE,N/A,table absent; row-level check impossible,validate explicit target LINE account set; snapshot and audit targets; use composite idempotency keys
event_booking_idempotency_keys,line_account,line_account_id,direct,none,PK(key),idx_event_booking_idempotency_expires(expires_at),no,N/A,MISSING_TABLE,N/A,table absent; row-level check impossible,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
event_booking_reminders,line_account,booking_id -> event_bookings.line_account_id,derived,booking_id->event_bookings.id,PK(id),idx_event_booking_reminders_status_scheduled(status+scheduled_at),no,N/A,MISSING_TABLE,N/A,table absent; row-level check impossible,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
event_bookings,line_account,line_account_id,direct,friend_id->friends.id; slot_id->event_slots.id; event_id->events.id; line_account_id->line_accounts.id,PK(id),idx_event_bookings_slot_status(slot_id+status); idx_event_bookings_identity_status(event_id+identity_key+status); idx_event_bookings_friend_requested(friend_id+requested_at); idx_event_bookings_account_status_event(line_account_id+status+event_id),no,N/A,MISSING_TABLE,N/A,table absent; row-level check impossible,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
event_slots,line_account,event_id -> events account scope,derived,event_id->events.id,PK(id),idx_event_slots_event_starts(event_id+starts_at),no,N/A,MISSING_TABLE,N/A,table absent; row-level check impossible,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
events,cross_account,line_account_id OR account_ids,direct_polymorphic,line_account_id->line_accounts.id,PK(id),idx_events_account_published_sort(line_account_id+is_published+sort_order),no,N/A,MISSING_TABLE,N/A,table absent; row-level check impossible,validate explicit target LINE account set; snapshot and audit targets; use composite idempotency keys
form_opens,line_account,friend_id -> friends.line_account_id; form needs scope,derived_ambiguous,none,PK(id),idx_form_opens_form(form_id+opened_at),no,N/A,MISSING_TABLE,N/A,table absent; row-level check impossible,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
form_submissions,line_account,friend_id -> friends.line_account_id; form needs scope,derived_ambiguous,friend_id->friends.id[delete:SET NULL]; form_id->forms.id[delete:CASCADE],PK(id),idx_form_submissions_friend(friend_id); idx_form_submissions_form(form_id),no,N/A,MISSING_TABLE,N/A,table absent; row-level check impossible,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
forms,line_account,line_account_id (missing),missing,on_submit_scenario_id->scenarios.id[delete:SET NULL]; on_submit_tag_id->tags.id[delete:SET NULL],PK(id),none,no,N/A,MISSING_TABLE; TENANT_KEY_MISSING_BY_DESIGN,N/A,table absent; row-level check impossible,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
friend_reminder_deliveries,line_account,friend_reminder_id -> friend_reminders -> friends.line_account_id,derived,reminder_step_id->reminder_steps.id[delete:CASCADE]; friend_reminder_id->friend_reminders.id[delete:CASCADE],PK(id); UNIQUE(friend_reminder_id+reminder_step_id),sqlite_autoindex_friend_reminder_deliveries_2(friend_reminder_id+reminder_step_id)[unique],yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
friend_reminders,line_account,friend_id -> friends.line_account_id; reminder_id -> reminders.line_account_id,derived_multi,reminder_id->reminders.id[delete:CASCADE]; friend_id->friends.id[delete:CASCADE],PK(id),idx_friend_reminders_status(status); idx_friend_reminders_friend(friend_id),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
friend_scenarios,line_account,friend_id -> friends.line_account_id; scenario_id -> scenarios.line_account_id,derived_multi,scenario_id->scenarios.id[delete:CASCADE]; friend_id->friends.id[delete:CASCADE],PK(id); UNIQUE(friend_id+scenario_id),idx_friend_scenarios_unique(friend_id+scenario_id)[unique]; idx_friend_scenarios_status(status); idx_friend_scenarios_next_delivery_at(next_delivery_at); idx_friend_scenarios_friend_id(friend_id),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
friend_scores,line_account,friend_id -> friends.line_account_id,derived,scoring_rule_id->scoring_rules.id[delete:SET NULL]; friend_id->friends.id[delete:CASCADE],PK(id),idx_friend_scores_friend(friend_id); idx_friend_scores_created(created_at),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
friend_tags,line_account,friend_id -> friends.line_account_id; tag needs scope,derived_ambiguous,tag_id->tags.id[delete:CASCADE]; friend_id->friends.id[delete:CASCADE],PK(friend_id+tag_id),idx_friend_tags_tag_id(tag_id),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
friends,line_account,line_account_id,direct,first_tracked_link_id->tracked_links.id[delete:SET NULL]; line_account_id->line_accounts.id,PK(id); UNIQUE(line_user_id),idx_friends_user_id(user_id); idx_friends_line_user_id(line_user_id); idx_friends_ig_igsid(ig_igsid); sqlite_autoindex_friends_2(line_user_id)[unique],yes,1,missing_columns:last_ref_code+last_ref_at+ref_code+metadata+line_account_id+first_tracked_link_id,1,1 dev row cannot be assigned to a line account because remote schema lacks line_account_id,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
google_calendar_connections,line_account,line_account_id (missing),missing,none,PK(id),none,yes,0,TENANT_KEY_MISSING_BY_DESIGN,0,0 data rows; schema defect remains,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
incoming_webhooks,line_account,line_account_id (missing),missing,none,PK(id),none,yes,0,TENANT_KEY_MISSING_BY_DESIGN,0,0 data rows; schema defect remains,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
line_accounts,deployment,deployment resource boundary; id is LINE account identity,deployment_boundary,none,PK(id); UNIQUE(channel_id),idx_line_accounts_display_order(display_order+created_at); sqlite_autoindex_line_accounts_2(channel_id)[unique],yes,0,missing_columns:og_site_name+og_default_image_url+og_default_description+login_channel_id+login_channel_secret+liff_id+token_expires_at,0,0 data rows; schema defect remains,no tenant migration; enforce deployment-level role policy and per-customer resource isolation
link_clicks,line_account,tracked_link_id -> tracked_links.line_account_id; friend_id -> friends.line_account_id,derived_multi,friend_id->friends.id[delete:SET NULL]; tracked_link_id->tracked_links.id[delete:CASCADE],PK(id),idx_link_clicks_link(tracked_link_id); idx_link_clicks_friend(friend_id),no,N/A,MISSING_TABLE,N/A,table absent; row-level check impossible,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
menus,line_account,line_account_id,direct,auto_tag_id->tags.id[delete:SET NULL]; line_account_id->line_accounts.id,PK(id),idx_menus_account_sort(line_account_id+sort_order),yes,0,missing_columns:auto_tag_id,0,0 data rows; schema defect remains,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
message_templates,line_account,line_account_id (missing),missing,none,PK(id),none,yes,0,TENANT_KEY_MISSING_BY_DESIGN,0,0 data rows; schema defect remains,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
messages_log,line_account,line_account_id; friend_id -> friends.line_account_id,direct_and_derived,scenario_step_id->scenario_steps.id[delete:SET NULL]; broadcast_id->broadcasts.id[delete:SET NULL]; friend_id->friends.id[delete:CASCADE],PK(id),idx_messages_log_friend_source(friend_id+source); idx_messages_log_friend_id(friend_id); idx_messages_log_friend_direction_created(friend_id+direction+created_at); idx_messages_log_created_at(created_at); idx_messages_log_broadcast_id(broadcast_id),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
notification_rules,line_account,line_account_id (missing),missing,none,PK(id),none,yes,0,TENANT_KEY_MISSING_BY_DESIGN,0,0 data rows; schema defect remains,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
notifications,line_account,line_account_id (missing),missing,rule_id->notification_rules.id[delete:SET NULL],PK(id),idx_notifications_status(status); idx_notifications_created(created_at),yes,0,TENANT_KEY_MISSING_BY_DESIGN,0,0 data rows; schema defect remains,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
operators,deployment,deployment resource boundary (no DB tenant key),deployment_boundary,none,PK(id); UNIQUE(email),sqlite_autoindex_operators_2(email)[unique],yes,0,none,0,0 data rows; schema defect remains,no tenant migration; enforce deployment-level role policy and per-customer resource isolation
outgoing_webhooks,line_account,line_account_id (missing),missing,none,PK(id),none,yes,0,TENANT_KEY_MISSING_BY_DESIGN,0,0 data rows; schema defect remains,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
pool_accounts,cross_account,pool_id + line_account_id,direct_multi,line_account_id->line_accounts.id[delete:CASCADE]; pool_id->traffic_pools.id[delete:CASCADE],PK(id); UNIQUE(pool_id+line_account_id),sqlite_autoindex_pool_accounts_2(pool_id+line_account_id)[unique],yes,0,FK_TARGET_traffic_pools_MISSING_REMOTE,0,line_accounts delete precheck fails: no such table main.traffic_pools; 0 data rows; schema defect remains,validate explicit target LINE account set; snapshot and audit targets; use composite idempotency keys
ref_tracking,line_account,friend_id -> friends.line_account_id; entry_route may be cross-account,derived_multi,entry_route_id->entry_routes.id[delete:SET NULL]; friend_id->friends.id[delete:CASCADE],PK(id),idx_ref_tracking_ref_created(ref_code+created_at); idx_ref_tracking_ref(ref_code); idx_ref_tracking_friend_created(friend_id+created_at); idx_ref_tracking_friend(friend_id),no,N/A,MISSING_TABLE,N/A,table absent; row-level check impossible,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
reminder_steps,line_account,reminder_id -> reminders.line_account_id,derived,reminder_id->reminders.id[delete:CASCADE],PK(id),idx_reminder_steps_reminder(reminder_id),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
reminders,line_account,line_account_id,direct,none,PK(id),none,yes,0,missing_columns:line_account_id,0,0 data rows; schema defect remains,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
rich_menu_areas,line_account,page_id -> group_id -> rich_menu_groups.account_id,derived,page_id->rich_menu_pages.id[delete:CASCADE],PK(id),idx_rich_menu_areas_page(page_id),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
rich_menu_groups,line_account,account_id,direct,account_id->line_accounts.id[delete:CASCADE],PK(id),idx_rich_menu_groups_account(account_id+status),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
rich_menu_pages,line_account,group_id -> rich_menu_groups.account_id,derived,group_id->rich_menu_groups.id[delete:CASCADE],PK(id); UNIQUE(group_id+order_index),idx_rich_menu_pages_group(group_id+order_index); sqlite_autoindex_rich_menu_pages_2(group_id+order_index)[unique],yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
scenario_steps,line_account,scenario_id -> scenarios.line_account_id,derived,on_reach_tag_id->tags.id[delete:SET NULL]; template_id->templates.id[delete:SET NULL]; scenario_id->scenarios.id[delete:CASCADE],PK(id); UNIQUE(scenario_id+step_order),idx_scenario_steps_scenario_id(scenario_id); sqlite_autoindex_scenario_steps_2(scenario_id+step_order)[unique],yes,0,missing_columns:condition_type+condition_value+next_step_on_false,0,0 data rows; schema defect remains,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
scenarios,line_account,line_account_id,direct,trigger_tag_id->tags.id[delete:SET NULL],PK(id),none,yes,0,missing_columns:line_account_id,0,0 data rows; schema defect remains,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
scoring_rules,line_account,line_account_id (missing),missing,none,PK(id),none,yes,0,TENANT_KEY_MISSING_BY_DESIGN,0,0 data rows; schema defect remains,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
staff,line_account,line_account_id,direct,line_account_id->line_accounts.id,PK(id),idx_staff_account_sort(line_account_id+sort_order),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
staff_members,deployment,deployment resource boundary (no DB tenant key),deployment_boundary,none,PK(id); UNIQUE(api_key),idx_staff_members_role(role); idx_staff_members_api_key(api_key)[unique]; sqlite_autoindex_staff_members_2(api_key)[unique],yes,0,none,0,0 data rows; schema defect remains,no tenant migration; enforce deployment-level role policy and per-customer resource isolation
staff_menus,line_account,staff_id -> staff.line_account_id; menu_id -> menus.line_account_id,derived_multi,menu_id->menus.id; staff_id->staff.id,PK(staff_id+menu_id),none,yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
staff_shifts,line_account,staff_id -> staff.line_account_id,derived,staff_id->staff.id,PK(id); UNIQUE(staff_id+work_date),idx_shifts_staff_date(staff_id+work_date); sqlite_autoindex_staff_shifts_2(staff_id+work_date)[unique],yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
stripe_events,line_account,friend_id -> friends.line_account_id,derived,friend_id->friends.id[delete:SET NULL],PK(id); UNIQUE(stripe_event_id),idx_stripe_events_type(event_type); idx_stripe_events_friend(friend_id); sqlite_autoindex_stripe_events_2(stripe_event_id)[unique],yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate same-account joins; add composite FK or denormalized line_account_id plus account-prefixed index
tags,line_account,line_account_id (missing),missing,none,PK(id); UNIQUE(name),sqlite_autoindex_tags_2(name)[unique],yes,0,TENANT_KEY_MISSING_BY_DESIGN,0,0 data rows; schema defect remains,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
templates,line_account,line_account_id (missing),missing,none,PK(id),idx_templates_category(category),yes,0,TENANT_KEY_MISSING_BY_DESIGN,0,0 data rows; schema defect remains,add/backfill line_account_id; reconcile derived owners; add FK and account-prefixed unique/index; enforce NOT NULL after quarantine
tracked_links,line_account,line_account_id,direct,line_account_id->line_accounts.id[delete:SET NULL]; reward_template_id->message_templates.id[delete:SET NULL]; intro_template_id->message_templates.id[delete:SET NULL]; scenario_id->scenarios.id[delete:SET NULL]; tag_id->tags.id[delete:SET NULL],PK(id); UNIQUE(short_code),idx_tracked_links_short_code(short_code)[unique],no,N/A,MISSING_TABLE,N/A,table absent; row-level check impossible,"enforce line_account FK, line_account context predicate, and account-prefixed unique/index"
traffic_pools,cross_account,active_account_id + pool_accounts membership,direct_multi,active_account_id->line_accounts.id,PK(id); UNIQUE(slug),sqlite_autoindex_traffic_pools_2(slug)[unique],no,N/A,MISSING_TABLE,N/A,table absent; row-level check impossible,validate explicit target LINE account set; snapshot and audit targets; use composite idempotency keys
update_history,system,none,none,rollback_of->update_history.id,PK(id),idx_update_history_started(started_at),no,N/A,MISSING_TABLE,N/A,table absent; row-level check impossible,retain system scope; restrict writes to trusted operational control and audit every change
users,cross_account,linked friends -> friends.line_account_id; deployment-bound cross-account identity,derived_multi,none,PK(id),idx_users_phone(phone); idx_users_external_id(external_id); idx_users_email(email),yes,0,none,0,0 declared FK violations in dev D1; no inconsistent rows observed,validate explicit target LINE account set; snapshot and audit targets; use composite idempotency keys
