"route","method","resource","action","account_scope","current_authentication","current_permission_check","required_permission","negative_test","migration_impact","mounted","source_file","source_line"
"/api/admin/refresh-profiles","POST","admin","create","deployment","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + admin.create","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/profile-refresh.ts","19"
"/api/admin/tag-leak-check","POST","admin","create","deployment","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin + admin.create","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/profile-refresh.ts","180"
"/api/admin/tag-remove-content-dups","POST","admin","create","deployment","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin + admin.create","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/profile-refresh.ts","392"
"/api/affiliate-offers","GET","affiliate-offers","list","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin|staff + required line_account context + affiliate-offers.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/affiliate-offers.ts","40"
"/api/affiliate-offers","POST","affiliate-offers","create","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + affiliate-offers.create","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/affiliate-offers.ts","66"
"/api/affiliate-offers/:id","GET","affiliate-offers","read","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin|staff + required line_account context + affiliate-offers.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/affiliate-offers.ts","52"
"/api/affiliate-offers/:id","PUT","affiliate-offers","update","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + affiliate-offers.update","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/affiliate-offers.ts","106"
"/api/affiliates","GET","affiliates","list","deployment","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin|staff + affiliates.read","unauthenticated=401; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/affiliates.ts","40"
"/api/affiliates","POST","affiliates","create","deployment","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin + affiliates.create","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/affiliates.ts","77"
"/api/affiliates-report","GET","affiliates-report","list","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin|staff + required line_account context + affiliates-report.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/affiliates.ts","337"
"/api/affiliates/:id","DELETE","affiliates","delete","deployment","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin + affiliates.delete + idempotency/step-up","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/affiliates.ts","224"
"/api/affiliates/:id","GET","affiliates","read","deployment","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin|staff + affiliates.read","unauthenticated=401; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/affiliates.ts","51"
"/api/affiliates/:id","PUT","affiliates","update","deployment","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin + affiliates.update","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/affiliates.ts","198"
"/api/affiliates/:id/journeys","GET","affiliates","read","deployment","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin|staff + affiliates.read","unauthenticated=401; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/affiliates.ts","257"
"/api/affiliates/:id/links","GET","affiliates","read","deployment","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin|staff + affiliates.read","unauthenticated=401; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/affiliates.ts","277"
"/api/affiliates/:id/report","GET","affiliates","read","deployment","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin|staff + affiliates.read","unauthenticated=401; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/affiliates.ts","237"
"/api/affiliates/click","POST","affiliates","click","deployment","none (public click endpoint)","none beyond current authentication","signed/capability-scoped service action; no ambient public write","unexpected Authorization does not widen data; unpublished/secret/cross-account object=404; mutation is rate-limited and replay-safe","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/affiliates.ts","311"
"/api/analytics/ref-summary","GET","analytics","list","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + required line_account context + analytics.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/liff.ts","1326"
"/api/analytics/ref/:refCode","GET","analytics","read","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + required line_account context + analytics.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/liff.ts","1399"
"/api/auth/login","POST","auth","login","deployment","API key credential exchange","none beyond current authentication","owner|admin + auth.login","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/admin-auth.ts","29"
"/api/auth/logout","POST","auth","logout","deployment","none; clears cookie","none beyond current authentication","signed/capability-scoped service action; no ambient public write","unexpected Authorization does not widen data; unpublished/secret/cross-account object=404; mutation is rate-limited and replay-safe","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/admin-auth.ts","57"
"/api/auth/session","GET","auth","list","deployment","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin|staff + auth.read","unauthenticated=401; non-selected LINE account ID/query swap=404","no tenant-key migration; enforce deployment role policy and audit","yes","apps/worker/src/routes/admin-auth.ts","70"
"/api/auto-replies","GET","auto-replies","list","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + required line_account context + auto-replies.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/auto-replies.ts","108"
"/api/auto-replies","POST","auto-replies","create","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + auto-replies.create","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/auto-replies.ts","151"
"/api/auto-replies/:id","DELETE","auto-replies","delete","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin + required line_account context + auto-replies.delete","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/auto-replies.ts","249"
"/api/auto-replies/:id","GET","auto-replies","read","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin|staff + required line_account context + auto-replies.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/auto-replies.ts","136"
"/api/auto-replies/:id","PUT","auto-replies","update","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + auto-replies.update","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/auto-replies.ts","202"
"/api/automations","GET","automations","list","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + required line_account context + automations.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/automations.ts","16"
"/api/automations","POST","automations","create","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + automations.create","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/automations.ts","94"
"/api/automations/:id","DELETE","automations","delete","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin + required line_account context + automations.delete","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/automations.ts","163"
"/api/automations/:id","GET","automations","read","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + required line_account context + automations.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/automations.ts","56"
"/api/automations/:id","PUT","automations","update","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + automations.update","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/automations.ts","137"
"/api/automations/:id/logs","GET","automations","read","line_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin|staff + required line_account context + automations.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/automations.ts","175"
"/api/booking/admin/availability","GET","booking","list","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + required line_account context + booking.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","717"
"/api/booking/admin/bookings","POST","booking","create","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + booking.create","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","748"
"/api/booking/admin/menus","GET","booking","list","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + required line_account context + booking.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","532"
"/api/booking/admin/menus","POST","booking","create","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + booking.create","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","549"
"/api/booking/admin/menus/:id","DELETE","booking","delete","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + booking.delete","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","674"
"/api/booking/admin/menus/:id","PUT","booking","update","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + booking.update","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","594"
"/api/booking/admin/menus/:id/staff","GET","booking","read","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + required line_account context + booking.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","693"
"/api/booking/admin/pending-count","GET","booking","list","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + required line_account context + booking.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","1266"
"/api/booking/admin/requests","GET","booking","list","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + required line_account context + booking.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","1174"
"/api/booking/admin/requests/:id","PATCH","booking","update","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + booking.update","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","1208"
"/api/booking/admin/staff","GET","booking","list","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + required line_account context + booking.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","888"
"/api/booking/admin/staff","POST","booking","create","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + booking.create","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","904"
"/api/booking/admin/staff/:id","DELETE","booking","delete","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + booking.delete","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","977"
"/api/booking/admin/staff/:id","PUT","booking","update","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + booking.update","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","939"
"/api/booking/admin/staff/:id/menus","GET","booking","read","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + required line_account context + booking.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","994"
"/api/booking/admin/staff/:id/menus","PUT","booking","update","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + booking.update","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","1017"
"/api/booking/admin/staff/:id/shifts","GET","booking","read","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin|staff + required line_account context + booking.read","unauthenticated=401; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","1066"
"/api/booking/admin/staff/:id/shifts","PUT","booking","update","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + booking.update","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","1089"
"/api/booking/admin/staff/:id/shifts/:shiftId","DELETE","booking","delete","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + booking.delete","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","1116"
"/api/booking/admin/staff/:id/shifts/generate","POST","booking","create","line_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + required line_account context + booking.create","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404","line_account_id backfill/derivation + line_account context predicate + account-prefixed index","yes","apps/worker/src/routes/booking.ts","1131"
"/api/broadcasts","GET","broadcasts","list","cross_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + explicit target LINE account set + audit + cross_account.broadcasts.list","unauthenticated=401; non-selected LINE account ID/query swap=404; undeclared target LINE account rejects the whole operation","no enterprise tenant migration; add explicit target LINE account snapshot, authorization decision, and audit record","yes","apps/worker/src/routes/broadcasts.ts","66"
"/api/broadcasts","POST","broadcasts","create","cross_account","Bearer API key or authenticated session cookie","account predicate/derivation present in handler","owner|admin + explicit target LINE account set + audit + cross_account.broadcasts.create","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404; undeclared target LINE account rejects the whole operation","no enterprise tenant migration; add explicit target LINE account snapshot, authorization decision, and audit record","yes","apps/worker/src/routes/broadcasts.ts","262"
"/api/broadcasts/:id","DELETE","broadcasts","delete","cross_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin + explicit target LINE account set + audit + cross_account.broadcasts.delete","unauthenticated=401; staff role=403; cookie without CSRF=403; non-selected LINE account ID/query swap=404; undeclared target LINE account rejects the whole operation","no enterprise tenant migration; add explicit target LINE account snapshot, authorization decision, and audit record","yes","apps/worker/src/routes/broadcasts.ts","413"
"/api/broadcasts/:id","GET","broadcasts","read","cross_account","Bearer API key or authenticated session cookie","none beyond current authentication","owner|admin + explicit target LINE account set + audit + cross_account.broadcasts.read","unauthenticated=401; non-selected LINE account ID/query swap=404; undeclared target LINE account rejects the whole operation","no enterprise tenant migration; add explicit target LINE account snapshot, authorization decision, and audit record","yes","apps/worker/src/routes/broadcasts.ts","78"
